customer_key,segment,signup_year
156,Consumer,2024
157,Consumer,2025
158,Consumer,2021
159,Small Business,2019
160,Small Business,2024
161,Small Business,2019
162,Small Business,2023
163,Consumer,2020
164,Consumer,2021
165,Consumer,2019
166,Small Business,2019
167,Consumer,2020
168,Consumer,2022
169,Consumer,2021
170,Consumer,2021
171,Consumer,2019
172,Small Business,2019
173,Consumer,2024
174,Consumer,2024
175,Small Business,2024
176,Consumer,2025
177,Small Business,2024
178,Consumer,2019
179,Consumer,2024
180,Consumer,2020
181,Consumer,2024
182,Small Business,2023
183,Consumer,2024
184,Consumer,2025
185,Consumer,2023
186,Consumer,2025
187,Small Business,2022
188,Enterprise,2025
189,Consumer,2019
190,Consumer,2022
191,Consumer,2024
192,Consumer,2025
193,Enterprise,2025
194,Consumer,2021
195,Consumer,2023
196,Consumer,2019
197,Small Business,2019
198,Consumer,2023
199,Consumer,2021
200,Consumer,2022
201,Consumer,2020
202,Consumer,2024
203,Consumer,2019
204,Consumer,2023
205,Consumer,2023
206,Consumer,2024
207,Consumer,2020
208,Enterprise,2021
209,Small Business,2022
210,Consumer,2021
211,Consumer,2024
212,Small Business,2024
213,Consumer,2024
214,Consumer,2022
215,Small Business,2023
216,Consumer,2020
217,Small Business,2020
218,Consumer,2021
219,Consumer,2020
220,Consumer,2024
221,Consumer,2020
222,Consumer,2025
223,Consumer,2021
224,Small Business,2024
225,Consumer,2019
226,Consumer,2024
227,Small Business,2022
228,Small Business,2024
229,Consumer,2020
230,Consumer,2020
231,Enterprise,2025
232,Consumer,2023
233,Small Business,2022
234,Small Business,2023
235,Small Business,2021
236,Consumer,2025
237,Consumer,2022
238,Consumer,2019
239,Consumer,2021
240,Enterprise,2025
241,Consumer,2022
242,Consumer,2024
243,Consumer,2019
244,Enterprise,2019
245,Consumer,2020
246,Consumer,2022
247,Consumer,2023
248,Consumer,2019
249,Consumer,2025
250,Consumer,2023
251,Consumer,2021
252,Consumer,2022
253,Consumer,2022
254,Consumer,2024
255,Consumer,2019
256,Consumer,2023
257,Consumer,2022
258,Consumer,2024
259,Consumer,2021
260,Consumer,2021
261,Consumer,2024
262,Consumer,2024
263,Small Business,2024
264,Consumer,2025
265,Consumer,2019
266,Consumer,2023
267,Consumer,2023
268,Consumer,2020
269,Small Business,2022
270,Small Business,2025
271,Consumer,2019
272,Consumer,2024
273,Consumer,2021
274,Consumer,2024
275,Consumer,2022
276,Consumer,2019
277,Consumer,2019
278,Small Business,2024
279,Consumer,2024
280,Consumer,2020
281,Consumer,2023
282,Consumer,2022
283,Consumer,2019
284,Consumer,2023
285,Small Business,2020
286,Consumer,2021
287,Consumer,2019
288,Consumer,2020
289,Consumer,2025
290,Consumer,2022
291,Consumer,2024
292,Consumer,2021
293,Consumer,2019
294,Small Business,2023
295,Consumer,2020
296,Small Business,2019
297,Consumer,2022
298,Consumer,2021
299,Small Business,2019
300,Small Business,2023
301,Consumer,2022
302,Small Business,2025
303,Consumer,2019
304,Consumer,2022
305,Enterprise,2024
306,Consumer,2021
307,Small Business,2020
308,Consumer,2025
309,Small Business,2021
310,Consumer,2025
311,Consumer,2024
312,Consumer,2023
313,Consumer,2024
314,Consumer,2022
315,Consumer,2023
316,Consumer,2020
317,Consumer,2019
318,Consumer,2023
319,Small Business,2024
320,Consumer,2024
321,Small Business,2024
322,Consumer,2025
323,Small Business,2023
324,Consumer,2020
325,Consumer,2020
326,Consumer,2020
327,Consumer,2025
328,Consumer,2025
329,Consumer,2024
330,Enterprise,2025
331,Consumer,2021
332,Consumer,2024
333,Enterprise,2020
334,Consumer,2019
335,Consumer,2023
336,Small Business,2023
337,Small Business,2023
338,Consumer,2022
339,Consumer,2023
340,Consumer,2021
341,Consumer,2021
342,Consumer,2020
343,Consumer,2021
344,Consumer,2021
345,Small Business,2020
346,Consumer,2022
347,Consumer,2021
348,Consumer,2020
349,Small Business,2025
350,Consumer,2022
351,Consumer,2019
352,Consumer,2019
353,Consumer,2019
354,Consumer,2021
355,Small Business,2020
356,Consumer,2025
357,Small Business,2022
358,Enterprise,2024
359,Consumer,2020
360,Consumer,2019
361,Consumer,2021
362,Small Business,2023
363,Consumer,2024
364,Consumer,2020
365,Consumer,2021
366,Small Business,2022
367,Consumer,2021
368,Consumer,2021
369,Consumer,2025
370,Enterprise,2025
371,Consumer,2021
372,Consumer,2019
373,Small Business,2021
374,Small Business,2025
375,Consumer,2025
376,Consumer,2023
377,Small Business,2023
378,Small Business,2021
379,Consumer,2022
380,Consumer,2025
381,Small Business,2020
382,Small Business,2021
383,Small Business,2025
384,Consumer,2023
385,Consumer,2019
386,Small Business,2024
387,Small Business,2019
388,Small Business,2021
389,Consumer,2025
390,Consumer,2019
391,Small Business,2020
392,Consumer,2025
393,Enterprise,2023
394,Consumer,2020
395,Consumer,2021
396,Small Business,2025
397,Consumer,2023
398,Consumer,2021
399,Consumer,2020
400,Consumer,2021
401,Consumer,2021
402,Consumer,2022
403,Small Business,2019
404,Consumer,2022
405,Consumer,2020
406,Consumer,2025
407,Consumer,2020
408,Consumer,2020
409,Consumer,2021
410,Consumer,2023
411,Consumer,2024
412,Enterprise,2021
413,Consumer,2023
414,Consumer,2019
415,Small Business,2020
416,Small Business,2021
417,Consumer,2023
418,Consumer,2022
419,Consumer,2022
420,Consumer,2023
421,Consumer,2020
422,Consumer,2020
423,Consumer,2023
424,Consumer,2025
425,Enterprise,2019
426,Consumer,2021
427,Consumer,2025
428,Consumer,2024
429,Consumer,2020
430,Consumer,2019
431,Small Business,2022
432,Small Business,2023
433,Small Business,2020
434,Enterprise,2021
435,Enterprise,2023
436,Enterprise,2022
437,Consumer,2020
438,Consumer,2024
439,Consumer,2025
440,Consumer,2024
441,Consumer,2025
442,Small Business,2021
443,Consumer,2019
444,Consumer,2024
445,Consumer,2022
446,Consumer,2021
447,Consumer,2020
448,Small Business,2019
449,Consumer,2020
450,Small Business,2023
451,Consumer,2020
452,Consumer,2025
453,Consumer,2022
454,Small Business,2019
455,Small Business,2023
456,Consumer,2023
457,Enterprise,2020
458,Consumer,2024
459,Small Business,2024
460,Consumer,2023
461,Consumer,2019
462,Small Business,2022
463,Consumer,2025
464,Consumer,2020
465,Consumer,2025
466,Consumer,2020
467,Consumer,2023
468,Small Business,2021
469,Small Business,2019
470,Consumer,2023
471,Consumer,2022
472,Consumer,2021
473,Consumer,2020
474,Consumer,2022
475,Enterprise,2019
476,Small Business,2023
477,Small Business,2019
478,Consumer,2020
479,Consumer,2022
480,Consumer,2024
481,Consumer,2021
482,Consumer,2023
483,Consumer,2025
484,Consumer,2023
485,Enterprise,2024
486,Consumer,2022
487,Enterprise,2020
488,Consumer,2021
489,Consumer,2021
490,Consumer,2022
491,Consumer,2020
492,Consumer,2024
493,Consumer,2020
494,Small Business,2023
495,Consumer,2022
496,Consumer,2024
497,Consumer,2020
498,Consumer,2020
499,Consumer,2020
500,Consumer,2024
501,Enterprise,2020
502,Small Business,2021
503,Small Business,2019
504,Consumer,2020
505,Consumer,2024
506,Small Business,2019
507,Consumer,2025
508,Consumer,2024
509,Consumer,2025
510,Small Business,2023
511,Consumer,2023
512,Small Business,2024
513,Small Business,2023
514,Consumer,2022
515,Small Business,2021
516,Consumer,2025
517,Consumer,2021
518,Consumer,2022
519,Enterprise,2019
520,Consumer,2023
521,Consumer,2019
522,Consumer,2019
523,Consumer,2021
524,Consumer,2023
525,Consumer,2024
526,Consumer,2023
527,Small Business,2023
528,Consumer,2020
529,Small Business,2019
530,Consumer,2019
531,Consumer,2019
532,Consumer,2021
533,Consumer,2024
534,Enterprise,2019
535,Consumer,2021
536,Consumer,2023
537,Consumer,2019
538,Small Business,2022
539,Consumer,2021
540,Consumer,2025
541,Small Business,2022
542,Small Business,2022
543,Enterprise,2024
544,Consumer,2024
545,Consumer,2022
546,Consumer,2023
547,Enterprise,2021
548,Consumer,2023
549,Small Business,2021
550,Consumer,2021
551,Consumer,2024
552,Consumer,2021
553,Consumer,2022
554,Small Business,2019
555,Consumer,2021
556,Consumer,2023
557,Consumer,2022
558,Consumer,2021
559,Consumer,2019
560,Consumer,2022
561,Consumer,2021
562,Consumer,2025
563,Consumer,2019
564,Consumer,2023
565,Consumer,2021
566,Consumer,2020
567,Consumer,2023
568,Small Business,2022
569,Small Business,2019
570,Consumer,2023
571,Consumer,2020
572,Consumer,2024
573,Consumer,2020
574,Consumer,2024
575,Consumer,2021
576,Consumer,2021
577,Small Business,2019
578,Consumer,2025
579,Consumer,2022
580,Consumer,2020
581,Enterprise,2019
582,Consumer,2020
583,Consumer,2022
584,Consumer,2019
585,Consumer,2021
586,Enterprise,2021
587,Consumer,2025
588,Consumer,2021
589,Consumer,2019
590,Consumer,2020
591,Small Business,2024
592,Consumer,2019
593,Consumer,2019
594,Small Business,2019
595,Small Business,2019
596,Consumer,2025
597,Consumer,2025
598,Consumer,2024
599,Consumer,2019
600,Consumer,2023
601,Consumer,2024
602,Small Business,2024
603,Small Business,2024
604,Small Business,2023
605,Enterprise,2022
606,Small Business,2019
607,Small Business,2024
608,Small Business,2025
609,Consumer,2022
610,Consumer,2022
611,Consumer,2025
612,Consumer,2022
613,Consumer,2021
614,Consumer,2025
615,Consumer,2025
616,Consumer,2020
617,Consumer,2020
618,Small Business,2021
619,Small Business,2020
620,Consumer,2024
621,Consumer,2025
622,Consumer,2022
623,Small Business,2023
624,Small Business,2021
625,Consumer,2025
626,Small Business,2025
627,Consumer,2024
628,Consumer,2025
629,Enterprise,2019
630,Consumer,2025
631,Consumer,2021
632,Consumer,2020
633,Consumer,2025
634,Small Business,2024
635,Enterprise,2019
636,Consumer,2023
637,Consumer,2025
638,Small Business,2023
639,Consumer,2022
640,Small Business,2019
641,Consumer,2022
642,Consumer,2022
643,Small Business,2024
644,Consumer,2020
645,Consumer,2020
646,Consumer,2025
647,Consumer,2024
648,Consumer,2022
649,Consumer,2022
650,Enterprise,2023
651,Enterprise,2020
652,Consumer,2020
653,Consumer,2022
654,Small Business,2021
655,Enterprise,2020
656,Consumer,2022
657,Consumer,2023
658,Consumer,2024
659,Consumer,2023
660,Consumer,2023
661,Consumer,2022
662,Small Business,2019
663,Small Business,2021
664,Small Business,2022
665,Consumer,2022
666,Consumer,2021
667,Small Business,2024
668,Small Business,2022
669,Consumer,2021
670,Small Business,2022
671,Consumer,2023
672,Small Business,2019
673,Consumer,2021
674,Consumer,2020
675,Consumer,2021
676,Consumer,2023
677,Consumer,2020
678,Consumer,2022
679,Consumer,2021
680,Small Business,2019
681,Consumer,2025
682,Consumer,2023
683,Small Business,2021
684,Consumer,2022
685,Consumer,2025
686,Small Business,2020
687,Small Business,2024
688,Consumer,2019
689,Small Business,2025
690,Consumer,2021
691,Consumer,2021
692,Small Business,2024
693,Consumer,2020
694,Small Business,2019
695,Consumer,2022
696,Small Business,2025
697,Consumer,2021
698,Consumer,2022
699,Consumer,2021
700,Consumer,2024
701,Small Business,2025
702,Consumer,2025
703,Consumer,2020
704,Consumer,2020
705,Consumer,2025
706,Small Business,2023
707,Consumer,2021
708,Enterprise,2021
709,Consumer,2020
710,Consumer,2019
711,Consumer,2021
712,Consumer,2024
713,Small Business,2023
714,Enterprise,2019
715,Small Business,2019
716,Consumer,2025
717,Consumer,2024
718,Consumer,2024
719,Consumer,2025
720,Small Business,2023
721,Consumer,2021
722,Consumer,2023
723,Small Business,2023
724,Consumer,2024
725,Consumer,2022
726,Consumer,2019
727,Consumer,2023
728,Consumer,2024
729,Consumer,2025
730,Consumer,2020
731,Small Business,2025
732,Small Business,2019
733,Consumer,2024
734,Consumer,2021
735,Consumer,2019
736,Consumer,2021
737,Consumer,2022
738,Consumer,2020
739,Consumer,2022
740,Consumer,2023
741,Consumer,2025
742,Consumer,2022
743,Small Business,2023
744,Consumer,2025
745,Consumer,2019
746,Small Business,2024
747,Consumer,2025
748,Consumer,2024
749,Small Business,2025
750,Consumer,2025
751,Consumer,2023
752,Consumer,2024
753,Consumer,2021
754,Consumer,2019
755,Consumer,2019
756,Consumer,2020
757,Consumer,2024
758,Consumer,2021
759,Consumer,2024
760,Consumer,2021
761,Small Business,2024
762,Consumer,2025
763,Consumer,2021
764,Consumer,2022
765,Consumer,2022
766,Consumer,2025
767,Consumer,2021
768,Consumer,2021
769,Small Business,2024
770,Small Business,2025
771,Consumer,2019
772,Consumer,2019
773,Consumer,2025
774,Consumer,2022
775,Consumer,2022
776,Small Business,2025
777,Small Business,2021
778,Small Business,2022
779,Consumer,2024
780,Enterprise,2024
781,Consumer,2023
782,Consumer,2021
783,Consumer,2023
784,Enterprise,2024
785,Consumer,2025
786,Small Business,2023
787,Consumer,2025
788,Enterprise,2024
789,Consumer,2024
790,Consumer,2022
791,Enterprise,2022
792,Consumer,2023
793,Consumer,2025
794,Consumer,2022
795,Consumer,2023
796,Consumer,2022
797,Consumer,2023
798,Consumer,2023
799,Small Business,2019
800,Consumer,2019
801,Consumer,2019
802,Consumer,2024
803,Consumer,2025
804,Consumer,2021
805,Small Business,2019
806,Small Business,2019
807,Consumer,2022
808,Consumer,2023
809,Consumer,2021
810,Consumer,2023
811,Consumer,2020
812,Consumer,2024
813,Consumer,2021
814,Consumer,2025
815,Consumer,2024
816,Consumer,2022
817,Consumer,2025
818,Consumer,2025
819,Small Business,2020
820,Consumer,2023
821,Consumer,2023
822,Consumer,2021
823,Small Business,2025
824,Consumer,2023
825,Small Business,2024
826,Small Business,2020
827,Consumer,2025
828,Consumer,2025
829,Consumer,2025
830,Enterprise,2022
831,Consumer,2025
832,Small Business,2019
833,Consumer,2020
834,Consumer,2023
835,Consumer,2024
836,Consumer,2019
837,Consumer,2021
838,Consumer,2019
839,Small Business,2019
840,Small Business,2019
841,Consumer,2025
842,Consumer,2025
843,Consumer,2023
844,Small Business,2019
845,Consumer,2024
846,Small Business,2022
847,Consumer,2024
848,Consumer,2022
849,Consumer,2019
850,Consumer,2025
851,Small Business,2025
852,Consumer,2025
853,Consumer,2023
854,Enterprise,2025
855,Enterprise,2019
856,Small Business,2021
857,Consumer,2021
858,Consumer,2022
859,Small Business,2019
860,Consumer,2024
861,Consumer,2021
862,Small Business,2019
863,Consumer,2020
864,Consumer,2019
865,Enterprise,2023
866,Consumer,2025
867,Consumer,2019
868,Consumer,2019
869,Consumer,2025
870,Consumer,2021
871,Small Business,2019
872,Small Business,2020
873,Consumer,2023
874,Consumer,2019
875,Small Business,2021
876,Consumer,2025
877,Consumer,2022
878,Consumer,2020
879,Consumer,2024
880,Consumer,2022
881,Consumer,2021
882,Consumer,2020
883,Consumer,2024
884,Consumer,2022
885,Consumer,2022
886,Consumer,2024
887,Consumer,2021
888,Consumer,2023
889,Consumer,2020
890,Consumer,2023
891,Consumer,2022
892,Enterprise,2022
893,Consumer,2021
894,Small Business,2019
895,Enterprise,2025
896,Consumer,2021
897,Consumer,2024
898,Small Business,2025
899,Consumer,2022
900,Consumer,2024
901,Consumer,2022
902,Consumer,2019
903,Consumer,2025
904,Enterprise,2024
905,Enterprise,2022
906,Consumer,2024
907,Consumer,2023
908,Consumer,2024
909,Small Business,2019
910,Consumer,2024
911,Small Business,2020
912,Small Business,2025
913,Consumer,2025
914,Consumer,2019
915,Small Business,2023
916,Consumer,2021
917,Consumer,2020
918,Small Business,2025
919,Consumer,2021
920,Consumer,2022
921,Consumer,2021
922,Consumer,2023
923,Enterprise,2020
924,Consumer,2021
925,Consumer,2023
926,Consumer,2020
927,Enterprise,2024
928,Consumer,2025
929,Small Business,2023
930,Consumer,2021
931,Small Business,2020
932,Enterprise,2022
933,Small Business,2022
934,Enterprise,2020
935,Consumer,2021
936,Small Business,2025
937,Consumer,2020
938,Consumer,2020
939,Small Business,2021
940,Enterprise,2025
941,Consumer,2021
942,Consumer,2021
943,Consumer,2021
944,Consumer,2025
945,Consumer,2021
946,Consumer,2021
947,Consumer,2021
948,Consumer,2025
949,Small Business,2023
950,Consumer,2023
951,Small Business,2020
952,Consumer,2019
953,Consumer,2019
954,Consumer,2021
955,Consumer,2024
956,Enterprise,2024
957,Consumer,2024
958,Consumer,2023
959,Small Business,2022
960,Enterprise,2021
961,Consumer,2024
962,Consumer,2020
963,Consumer,2019
964,Consumer,2024
965,Consumer,2022
966,Consumer,2023
967,Small Business,2025
968,Consumer,2023
969,Consumer,2024
970,Consumer,2022
971,Small Business,2021
972,Consumer,2021
973,Small Business,2025
974,Enterprise,2021
975,Consumer,2025
976,Consumer,2019
977,Consumer,2021
978,Consumer,2025
979,Enterprise,2023
980,Consumer,2021
981,Small Business,2020
982,Consumer,2022
983,Consumer,2025
984,Consumer,2021
985,Consumer,2022
986,Consumer,2021
987,Consumer,2025
988,Consumer,2023
989,Small Business,2023
990,Consumer,2023
991,Small Business,2021
992,Consumer,2024
993,Consumer,2023
994,Consumer,2019
995,Consumer,2021
996,Consumer,2025
997,Consumer,2020
998,Enterprise,2025
999,Consumer,2024
1000,Consumer,2025
1001,Consumer,2024
1002,Consumer,2019
1003,Consumer,2020
1004,Consumer,2022
1005,Consumer,2021
1006,Consumer,2025
1007,Enterprise,2024
1008,Consumer,2024
1009,Small Business,2025
1010,Consumer,2019
1011,Consumer,2023
1012,Small Business,2025
1013,Consumer,2025
1014,Small Business,2024
1015,Consumer,2024
1016,Consumer,2024
1017,Small Business,2019
1018,Consumer,2021
1019,Consumer,2025
1020,Consumer,2023
1021,Consumer,2020
1022,Enterprise,2024
1023,Consumer,2019
1024,Consumer,2021
1025,Small Business,2024
1026,Consumer,2024
1027,Small Business,2022
1028,Consumer,2020
1029,Consumer,2022
1030,Small Business,2020
1031,Consumer,2025
1032,Consumer,2025
1033,Consumer,2024
1034,Small Business,2021
1035,Small Business,2020
1036,Consumer,2019
1037,Consumer,2021
1038,Enterprise,2024
1039,Consumer,2021
1040,Consumer,2024
1041,Consumer,2020
1042,Consumer,2024
1043,Small Business,2019
1044,Small Business,2021
1045,Consumer,2020
1046,Consumer,2023
1047,Consumer,2020
1048,Consumer,2019
1049,Consumer,2021
1050,Consumer,2019
1051,Consumer,2021
1052,Consumer,2020
1053,Consumer,2025
1054,Consumer,2022
1055,Consumer,2022
1056,Consumer,2023
1057,Small Business,2019
1058,Small Business,2019
1059,Small Business,2020
1060,Consumer,2025
1061,Small Business,2024
1062,Consumer,2025
1063,Consumer,2024
1064,Consumer,2019
1065,Consumer,2020
1066,Consumer,2024
1067,Consumer,2022
1068,Small Business,2023
1069,Consumer,2020
1070,Consumer,2022
1071,Consumer,2025
1072,Consumer,2022
1073,Consumer,2023
1074,Consumer,2024
1075,Consumer,2025
1076,Small Business,2020
1077,Small Business,2025
1078,Consumer,2023
1079,Consumer,2024
1080,Small Business,2020
1081,Enterprise,2019
1082,Consumer,2019
1083,Small Business,2021
1084,Small Business,2022
1085,Small Business,2021
1086,Consumer,2020
1087,Consumer,2024
1088,Consumer,2024
1089,Consumer,2023
1090,Consumer,2023
1091,Consumer,2024
1092,Consumer,2020
1093,Consumer,2025
1094,Small Business,2025
1095,Consumer,2021
1096,Consumer,2021
1097,Small Business,2020
1098,Small Business,2023
1099,Enterprise,2021
1100,Small Business,2020
1101,Small Business,2023
1102,Consumer,2020
1103,Consumer,2019
1104,Consumer,2025
1105,Consumer,2019
1106,Small Business,2025
1107,Consumer,2023
1108,Consumer,2021
1109,Consumer,2022
1110,Consumer,2021
1111,Consumer,2021
1112,Consumer,2023
1113,Enterprise,2025
1114,Consumer,2020
1115,Small Business,2022
1116,Consumer,2025
1117,Consumer,2019
1118,Consumer,2019
1119,Small Business,2023
1120,Consumer,2019
1121,Small Business,2025
1122,Consumer,2019
1123,Consumer,2024
1124,Small Business,2021
1125,Consumer,2025
1126,Consumer,2025
1127,Enterprise,2024
1128,Consumer,2023
1129,Consumer,2020
1130,Consumer,2019
1131,Consumer,2020
1132,Small Business,2019
1133,Small Business,2024
1134,Consumer,2021
1135,Small Business,2022
1136,Consumer,2023
1137,Consumer,2023
1138,Consumer,2023
1139,Enterprise,2024
1140,Consumer,2019
1141,Consumer,2020
1142,Consumer,2024
1143,Small Business,2024
1144,Consumer,2023
1145,Consumer,2025
1146,Small Business,2025
1147,Consumer,2019
1148,Consumer,2022
1149,Consumer,2025
1150,Consumer,2021
1151,Consumer,2019
1152,Small Business,2019
1153,Consumer,2024
1154,Consumer,2025
1155,Enterprise,2023
1156,Consumer,2019
1157,Consumer,2021
1158,Small Business,2021
1159,Consumer,2025
1160,Small Business,2022
1161,Small Business,2020
1162,Consumer,2022
1163,Consumer,2024
1164,Consumer,2023
1165,Consumer,2021
1166,Consumer,2024
1167,Consumer,2021
1168,Small Business,2019
1169,Small Business,2025
1170,Small Business,2024
1171,Consumer,2024
1172,Consumer,2025
1173,Consumer,2023
1174,Consumer,2019
1175,Enterprise,2024
1176,Consumer,2019
1177,Consumer,2023
1178,Small Business,2025
1179,Consumer,2021
1180,Consumer,2021
1181,Consumer,2025
1182,Consumer,2022
1183,Small Business,2025
1184,Consumer,2021
1185,Small Business,2020
1186,Small Business,2022
1187,Small Business,2021
1188,Consumer,2023
1189,Consumer,2021
1190,Small Business,2024
1191,Consumer,2021
1192,Consumer,2021
1193,Small Business,2023
1194,Consumer,2020
1195,Small Business,2020
1196,Small Business,2022
1197,Small Business,2021
1198,Consumer,2021
1199,Small Business,2021
1200,Consumer,2023
1201,Small Business,2021
1202,Small Business,2023
1203,Small Business,2020
1204,Consumer,2025
1205,Consumer,2025
1206,Consumer,2019
1207,Consumer,2019
1208,Consumer,2019
1209,Consumer,2020
1210,Consumer,2024
1211,Small Business,2020
1212,Small Business,2023
1213,Consumer,2020
1214,Small Business,2019
1215,Consumer,2019
1216,Consumer,2025
1217,Consumer,2022
1218,Small Business,2023
1219,Enterprise,2020
1220,Small Business,2022
1221,Small Business,2023
1222,Enterprise,2024
1223,Consumer,2023
1224,Consumer,2023
1225,Consumer,2023
1226,Enterprise,2021
1227,Consumer,2023
1228,Consumer,2021
1229,Small Business,2024
1230,Consumer,2022
1231,Small Business,2023
1232,Consumer,2022
1233,Enterprise,2022
1234,Small Business,2023
1235,Consumer,2020
1236,Small Business,2022
1237,Consumer,2021
1238,Consumer,2019
1239,Consumer,2024
1240,Small Business,2023
1241,Consumer,2019
1242,Consumer,2019
1243,Consumer,2025
1244,Consumer,2024
1245,Consumer,2024
1246,Consumer,2023
1247,Consumer,2024
1248,Small Business,2023
1249,Consumer,2019
1250,Consumer,2022
1251,Enterprise,2021
1252,Consumer,2020
1253,Small Business,2025
1254,Consumer,2023
1255,Small Business,2025
1256,Small Business,2019
1257,Small Business,2025
1258,Consumer,2023
1259,Consumer,2022
1260,Small Business,2020
1261,Consumer,2023
1262,Consumer,2023
1263,Consumer,2023
1264,Enterprise,2020
1265,Consumer,2023
1266,Consumer,2019
1267,Small Business,2019
1268,Consumer,2022
1269,Consumer,2019
1270,Consumer,2023
1271,Consumer,2022
1272,Consumer,2020
1273,Small Business,2020
1274,Small Business,2022
1275,Consumer,2023
1276,Consumer,2024
1277,Consumer,2023
1278,Enterprise,2022
1279,Small Business,2023
1280,Small Business,2023
1281,Consumer,2021
1282,Consumer,2020
1283,Consumer,2022
1284,Consumer,2019
1285,Consumer,2020
1286,Consumer,2020
1287,Enterprise,2022
1288,Consumer,2025
1289,Consumer,2025
1290,Small Business,2019
1291,Consumer,2024
1292,Small Business,2020
1293,Consumer,2025
1294,Small Business,2020
1295,Consumer,2019
1296,Consumer,2024
1297,Consumer,2024
1298,Consumer,2021
1299,Consumer,2022
1300,Consumer,2024
1301,Consumer,2024
1302,Small Business,2021
1303,Consumer,2024
1304,Consumer,2024
1305,Consumer,2024
1306,Small Business,2025
1307,Consumer,2024
1308,Consumer,2022
1309,Small Business,2021
1310,Consumer,2025
1311,Small Business,2022
1312,Consumer,2025
1313,Consumer,2025
1314,Consumer,2019
1315,Small Business,2019
1316,Consumer,2022
1317,Consumer,2019
1318,Consumer,2023
1319,Consumer,2019
1320,Consumer,2024
1321,Consumer,2021
1322,Consumer,2023
1323,Consumer,2022
1324,Consumer,2023
1325,Consumer,2023
1326,Consumer,2021
1327,Consumer,2024
1328,Consumer,2024
1329,Consumer,2021
1330,Consumer,2019
1331,Consumer,2022
1332,Consumer,2023
1333,Small Business,2024
1334,Consumer,2020
1335,Small Business,2022
1336,Consumer,2024
1337,Small Business,2022
1338,Consumer,2024
1339,Consumer,2023
1340,Consumer,2020
1341,Small Business,2020
1342,Consumer,2024
1343,Consumer,2023
1344,Consumer,2024
1345,Small Business,2021
1346,Consumer,2019
1347,Consumer,2020
1348,Consumer,2022
1349,Small Business,2019
1350,Consumer,2020
1351,Consumer,2020
1352,Enterprise,2019
1353,Consumer,2021
